key,en,ta
# Navbar
nav.open_menu,Open menu,மெனுவைத் திற
nav.dashboard,Dashboard,டாஷ்போர்டு
nav.logout,Logout,வெளியேறு

# Sidebar
sidebar.admin_panel,Admin Panel,நிர்வாக குழு
sidebar.navigation,Navigation,வழிசெலுத்தல்
sidebar.dashboard,Dashboard,டாஷ்போர்டு
sidebar.services,Services,சேவைகள்
sidebar.bookings,My Bookings,எனது முன்பதிவுகள்
sidebar.manage_services,Manage Services,சேவைகளை நிர்வகி
sidebar.manage_providers,Manage Providers,வழங்குநர்களை நிர்வகி
sidebar.manage_bookings,Manage Bookings,முன்பதிவுகளை நிர்வகி
sidebar.footer,BookEase v1.0 · Built with ❤️,BookEase v1.0 · அன்புடன் உருவாக்கப்பட்டது

# Auth - Login
auth.login.title,BookEase,BookEase
auth.login.subtitle,Your trusted booking platform,உங்கள் நம்பகமான முன்பதிவு தளம்
auth.login.heading,Welcome back,மீண்டும் வரவேற்கிறோம்
auth.login.email_label,Email address,மின்னஞ்சல் முகவரி
auth.login.email_placeholder,you@example.com,you@example.com
auth.login.password_label,Password,கடவுச்சொல்
auth.login.password_placeholder,Enter your password,உங்கள் கடவுச்சொல்லை உள்ளிடவும்
auth.login.signing_in,Signing in...,உள்நுழைகிறது...
auth.login.sign_in,Sign in,உள்நுழைக
auth.login.no_account,Don't have an account?,கணக்கு இல்லையா?
auth.login.create_account,Create account,கணக்கை உருவாக்கு
auth.login.demo_heading,Demo credentials:,டெமோ சான்றுகள்:
auth.login.demo_text,Admin: admin@booking.com / admin123,நிர்வாகி: admin@booking.com / admin123

# Auth - Register
auth.register.subtitle,Join thousands of happy customers,ஆயிரக்கணக்கான மகிழ்ச்சியான வாடிக்கையாளர்களுடன் சேருங்கள்
auth.register.heading,Create account,கணக்கை உருவாக்கு
auth.register.name_label,Full Name,முழு பெயர்
auth.register.name_placeholder,John Doe,John Doe
auth.register.email_label,Email address,மின்னஞ்சல் முகவரி
auth.register.email_placeholder,you@example.com,you@example.com
auth.register.password_label,Password,கடவுச்சொல்
