key,en,ta
# Navbar
nav.open_menu,Open menu
nav.dashboard,Dashboard
nav.logout,Logout

# Sidebar
sidebar.admin_panel,Admin Panel
sidebar.navigation,Navigation
sidebar.dashboard,Dashboard
sidebar.services,Services
sidebar.bookings,My Bookings
sidebar.manage_services,Manage Services
sidebar.manage_providers,Manage Providers
sidebar.manage_bookings,Manage Bookings
sidebar.footer,BookEase v1.0 · Built with ❤️

# Auth - Login
auth.login.title,BookEase
auth.login.subtitle,Your trusted booking platform
auth.login.heading,Welcome back
auth.login.email_label,Email address
auth.login.email_placeholder,you@example.com
auth.login.password_label,Password
auth.login.password_placeholder,Enter your password
auth.login.signing_in,Signing in...
auth.login.sign_in,Sign in
auth.login.no_account,Don't have an account?
auth.login.create_account,Create account
auth.login.demo_heading,Demo credentials:
auth.login.demo_text,Admin: admin@booking.com / admin123

# Auth - Register
auth.register.subtitle,Join thousands of happy customers
auth.register.heading,Create account
auth.register.name_label,Full Name
auth.register.name_placeholder,John Doe
auth.register.email_label,Email address
auth.register.email_placeholder,you@example.com
auth.register.password_label,Password
auth.register.password_placeholder,Min 6 characters
auth.register.confirm_label,Confirm Password
auth.register.confirm_placeholder,Repeat your password
auth.register.creating,Creating account...
auth.register.create_btn,Create account
auth.register.has_account,Already have an account?
auth.register.sign_in,Sign in

# Auth - Verify
auth.verify.title,Verify Email
auth.verify.heading,Verify Email
auth.verify.subtitle,Enter the 6-digit code sent to
auth.verify.code_label,Verification Code
auth.verify.code_placeholder,000000
auth.verify.verifying,Verifying...
auth.verify.verify_btn,Verify Email
auth.verify.resend,Resend code
auth.verify.back_to_login,Back to login
auth.verify.no_email,No email found. Please register again.
auth.verify.success,Email verified! Welcome aboard 🎉
auth.verify.code_resent,Code resent!

# Validation messages
validation.email_invalid,Invalid email address
validation.email_required,Email is required
validation.password_min,Password must be at least 6 characters
validation.password_required,Password is required
validation.name_min,Name must be at least 2 characters
validation.name_required,Name is required
validation.confirm_required,Please confirm your password
validation.confirm_match,Passwords do not match
validation.name_required_admin,Name is required
validation.skill_type_required,Skill type is required
validation.phone_required,Phone number is required
validation.price_required,Price is required
validation.price_positive,Price must be positive
validation.duration_required,Duration is required
validation.description_required,Description is required
validation.description_min,Description must be at least 10 characters

# User Dashboard
dashboard.user.greeting,Good morning, {{name}}! 👋
dashboard.user.subtitle,Here's what's happening with your bookings today.
dashboard.user.loading,Loading your dashboard...
dashboard.user.total_bookings,Total Bookings
dashboard.user.upcoming,Upcoming
dashboard.user.completed,Completed
dashboard.user.cancelled,Cancelled
dashboard.user.quick_actions,Quick Actions
dashboard.user.book_service,Book a Service
dashboard.user.book_service_desc,Browse available services
dashboard.user.my_bookings,My Bookings
dashboard.user.view_bookings_desc,View all your bookings
dashboard.user.support,Support
dashboard.user.support_desc,Get help anytime
dashboard.user.recent_bookings,Recent Bookings
dashboard.user.view_all,View all →
dashboard.user.no_bookings,No bookings yet
dashboard.user.no_bookings_desc,Book your first service to get started!
dashboard.user.browse_services,Browse Services

# Admin Dashboard
dashboard.admin.title,Admin Dashboard 🛡️
dashboard.admin.subtitle,Overview of your booking platform
dashboard.admin.loading,Loading admin dashboard...
dashboard.admin.total_bookings,Total Bookings
dashboard.admin.revenue,Revenue Generated
dashboard.admin.total_providers,Total Providers
dashboard.admin.available_now,Available Now
dashboard.admin.by_status,Bookings by Status
dashboard.admin.recent_bookings,Recent Bookings
dashboard.admin.table_id,#
dashboard.admin.table_customer,Customer
dashboard.admin.table_service,Service
dashboard.admin.table_provider,Provider
dashboard.admin.table_date,Date
dashboard.admin.table_status,Status
dashboard.admin.no_bookings,No bookings yet.

# Services
services.title,Our Services
services.subtitle,Find the perfect service for your needs
services.search,Search services...
services.none_found,No services found
services.none_found_desc,Try a different search term
services.clear_search,Clear search
services.view_document,📄 View Document
services.book_now,Book Now
services.page_info,Page {{page}} of {{totalPages}}

# Providers
providers.title,Choose a Provider
providers.service_label,Service:
providers.search,Search providers...
providers.none_found,No providers found
providers.none_found_desc,There are no providers available for this service yet.
providers.selected,✓ Selected
providers.booking_heading,📅 Complete Your Booking
providers.booking_date,Booking Date
providers.address_label,Service Address
providers.address_placeholder,Enter your full address
providers.summary,Booking Summary
providers.summary_service,Service:
providers.summary_provider,Provider:
providers.summary_price,Price:
providers.summary_duration,Duration:
providers.confirming,Confirming Booking...
providers.confirm_btn,✅ Confirm Booking
providers.error_select,Please select a provider
providers.error_date,Please select a booking date
providers.error_address,Please enter your address
providers.error_future,Booking date must be today or in the future
providers.confirmed,Booking confirmed! 🎉

# My Bookings
bookings.title,My Bookings
bookings.subtitle,Track all your service bookings
bookings.none,No bookings yet
bookings.none_desc,Start by booking a service!
bookings.browse,Browse Services
bookings.table_id,#
bookings.table_service,Service
bookings.table_provider,Provider
bookings.table_date,Date
bookings.table_address,Address
bookings.table_status,Status
bookings.showing,Showing page {{page}} of {{totalPages}} ({{total}} bookings)
bookings.prev,← Prev
bookings.next,Next →

# Manage Services (Admin)
admin.services.title,Manage Services
admin.services.subtitle,Create, edit and delete services
admin.services.add_btn,+ Add Service
admin.services.table_id,#
admin.services.table_name,Name
admin.services.table_description,Description
admin.services.table_price,Price
admin.services.table_duration,Duration
admin.services.table_document,Document
admin.services.table_actions,Actions
admin.services.edit,✏️ Edit
admin.services.delete,🗑️ Delete
admin.services.none,No services found.
admin.services.view_pdf,📄 View PDF
admin.services.modal_add,➕ Add Service
admin.services.modal_edit,✏️ Edit Service
